content,score
"Aplikasi nya sangat bermanfaat dan fiturnya bagus untuk pelajar. Tetapi, kenapa ya ketika memperbarui data rasionalisasi SNBP selalu ""failed to submit the data"". Sudah dicoba berkali-kali dan di waktu yang berjauhan. Capek.",3
"Aplikasinya benar-benar sangat bagus dan membantu untuk siswa-siswi sekarang ini. Saya yang awalnya enggak ngerti Matematika dan IPA sama sekali jadi paham banget dan karena Ruangguru juga, saya menjadi lebih sering belajar. Penjelasan di dalam video interaktif tersebut benar-benar sangat mudah dipahami dan kita juga diberi semacam kuis untuk mengetahui seberapa jauh pemahaman kita setelah dijelaskan materi tersebut. Terimakasih untuk Ruangguru karena kini saya menjadi lebih sering belajar.",5
"pekerjanya sangat spam! sudah banyak nomor yang menghubungi saya untuk tujuan promosi, tolong privasi pengguna lebih di jaga. saya sangat terganggu dengan hal ini, terlebih lagi ada yang dengan tidak sopannya langsung menelfon saya jika pesan promosinya tersebut tidak saya jawab. belum lagi dengan orang-orang yang terkesan memaksa untuk membuat saya menerima promosi dengan menggunakan kodenya, sangat tidak profesional.",1
"Langganan di ruang belajar sangat membantu saya untuk belajar SNBT sejauh ini. Tapi, sayangnya drill soal sm latihan subbab nya kurang update tentang soal soal asli yang keluar di SNBT th kmrin, tolong untuk drill soal agar d perbanyak soal yg mirip sm soal UTBK asli",5
"Lumayan untuk RuangGuru tapi ada sedikit yang harus diperhatikan yaitu dalam penjelasannya, sebagai tempat belajar seharusnya menggunakan pemilihan kata yang dapat dimengerti oleh seseorang.Jika ingin download apk ini harus memiliki bahasa Indonesia yang baik agar dapat mengerti.",5
"Suka bug, kadang ga bisa buka video padahal jaringan bagus banget, udah di update juga, sampe apus data buat login lagi masih sama aja",3
"Aplikasi yang bisa menginspirasi orang-orang agar tetap belajar dan berkembang. Dimanapun dan kapanpun, pasti ada ruangguru",5
"Aplikasi nya bagus banget🤩🤩🤩 Terus banyak fitur fitur nya juga,terus gampang di mengerti klo lagi ngejelasin, Pokoknya ini aplikasi Ter-The best dehh..... Terimakasih Ruangguru 🙏🙏🤩🤩🤩",5
"ada bug ketika saya buka AiRIS malah kebuka robo guru plus di tampilan awal dan saya kehilangan banyak fitur seperti jadwal belajar , blog ruang guru dll. Tolong perbaiki secepatnyaa",3
"ini aplikasi scam, utk klaim diskon aj hrs di alihkan di wa (sgt tdk profesional). ini sengaja bgt hnya utk dpt selalu mengirim pesan promosi trs menerus, padahal beli aja belum. disaat saya mau beli dan klaim diskon, mlh admin wa mengatakan diskon tdk valid utk paket yg sy mksd, pdhl sdh jelas sy dialihkan ke wa krna menekan diskon di paket yg sy ingin beli, dan malah di arahkan utk beli paket yg lebih mahal dan tdk sesuai kbtuhan sy. jd diskon ini hnya scam agr org download & beli paket utama",1
"Bagus sih bimbel nya mudah di mengerti trus video nya interaktif, bagus lah pokok nya. Kenapa skrng ruang guru makin aneh ya skrng video pembelajaran ny gagal dimuat mulu trus setiap ada pertanyaan interaktif pasti error video nya balik lagi ke awal pdhl internet bagus.",3
"Paling suka sama fitur Adapto. Cara belajar ku itu visual audio, tapi kalau cuman dari video YouTube kadang ga masuk ke otak. Ehh ini ruangguru nyediain fitur Adapto yang bener bener ngebantu aku banget!!",5
"Sering banget ngebug, ngefreeze juga, trs lemot. Padahal kecepatan sinyal lancar. Ini saya mau lihat video pembelajaran bagaimana? Ini udh saya refresh berkali-kali. Trs sempat logout juga. Tolong diperbaiki, kasihan yang mau belajar.",2
"Aplikasinya ngebantu bgt buat belajar soalnya penjelasannya mudah dimengerti trus vidionya tuh interaktif bgt jadi kayak main game gitu seru dehh. Aku tuh ga pernah belajar MTK samsek, paling cuma pas dikasih pr itupun kadang masih liat google. Tapi pas ujian MTK aku pake sistem SKS dengan belajar di ruang guru dan yang bikin kaget nilai ujian MTK ku 96 dong??ga ekspek padahal ulangan harian remidi mulu (y emng g pernah belajar sih). Stlh itu nyesel knp setiap ulangan harian ga bljr di RG aja.",5
"Edit lagi... Setahun lalu saya rating komplain ruangguru dengan kendala2 yg terjadi didalamnya, saya pikir setelah diperbaiki sudah tidak ada masalah apa2 lagi tapi masih saja bermunculan seperti pilihan materi&mapel menghilang saat baru membuka aplikasinya. Terus sorry to say... tapi ruangguru dari dulu materi di video dan modulnya suka ga sinkron, jadi lumayan ragu2 mau belajar disini mana udah langganan 3th.",2
"Aplikasi ini memang sangat efektif untuk menunjang pembelajaran yang asyik dan menyenangkan. namun ada beberapa bug dalam aplikasi dimana sistem kerjanya sering lemot dan tombol yang tidak mau dipencet, kemudian untuk laporan belajar pun, tidak bisa merekam bahwa saya sudah membukanya. Tolong diperbaiki lagi dan terus berkembang, semoga banyak anak indonesia semakin semangat dalam pembelajaran yang interaktif dan menyenangkan dengan berbagai fitur-fitur di ruangguru🔥🔥",4
"Wahhh sebenarnyaa sangat baguss yaa, akan tetapi setelah saya sudah berlangganan ada masalah yang saya temukan....yaitu untuk kuis dan rangkuman materi setelah menonton video masih terkunci yang dimana saya sudah berlangganan Hanya dapat mengakses video saja, belajar jadi kurang efektif...lalu bagaimana solusi yang ditawarkan??",3
Mashaallah alhamdulilah aplikasi ruang guru ini sangat bagus untuk aku yang agak malas belajar dan kesulitan dalam hal memahami setiap pelajaran. Terima kasih ruang guru.,5
"fitur aman, tetapi ketika membuka tab jadwal BAC selalu delay lama dan aplikasi selalu langsung tertutup ketika membuka aplikasi lain sebentar. Saran juga tambah fitur subtitle pada video ruang belajar agar bisa mengetahui isi video saat tidak bisa mendengar audio",4
"Teruntuk aplikasinya bagus sih namun sangat di sayangkan sih jika aplikasi ini memanglah sebagian berbayar supaya bisa mengakses semua fitur serta ilmu yang lengkap...sayang juga jika ada seorang yg tdk mampu berlangganan namun ingin menempuh ilmu yang di aplikasi ini,seandainya ada fitur uji coba gratis supaya semua orng yg ingin mendapatkan ilmu yg ckp baik bisa menggunakan aplikasi ini...saya akui aplikasi ini keren dan bagus serta cocok untuk orng yg ingin belajar and belajar lagi...",5
kenapa ya yang ada mode rangkuman materi hanya rumpun science saja dan rumpun soshum nya gaada mode rangkuman materi serta ada beberapa materi yang kurang lengkap seperti pada mapel sejarah pada bagian kerajaan kerajaan hindu buddha itu yang di mention hanya 9 kerajaan saja sedangkan di buku paket sejarah kelas x kurikulum merdeka itu di mention 10 kerajaan lebih tepatnya terletak pada kerajaan pajajaran dan tolong banget update lagi materi pelajarannya pada ruang belajar,3
"Kalo secara pribadi, aku kalo belajar bosen baca buku aku biasanya nonton sih. Dan, bisa nanya di Roboguru. Tapi, kalo bisa di setiap mapel agak lengkap yaaa soalnya ada beberapa isi mapel yang kurang jadi kadang susah nyari pembelajaran yang lengkap.",5
"overall udh okee smuanya, keren ruang guru. cmn sdkt kritik dan saran aja. 1. kdng untuk milih mapel itu masih cukup sering ngelag, waktu mencet ""semua mapel"" itu kdng gabs n ga klr mapel lainnya. 2. untuk fitur ""drill soal"" tolong di bisakan utk smua mapel🙏🏻 soalnya suka bgt sm fitur ini. 3. minta tolong disediain background gelap, krn ga smua orng matanya nyaman sama background putih 4. saran bgt, tiap video kasih fitur subtitle, biar(maaf) org yg tunarungu bisa akses apk ini jg.",4
"Suka sama pembelajaran nya, tapi kenapa ya video pembelajaran nya suka ngelag padahal sinyal udah oke, cache juga sudah dibersihkan pembaruan juga sudah",3
"tolong penjelasan soal lebih dijelasin lagi dongg kadang aku salah karena belum faham, lihat penjelasan tetep ga faham, terus vidio rekomendasi materi yang belum fahamnya kadang ga sama. terus ada in dong fitur yang kaya YouTube yang kalo keluar aplikasi tetep ada kaya mini di bawah gitu biar kadang kalo cuma mau dengerin bisa sambil ngapain gituu, jadi ga harus di apk nya",3
"ruang guru membantu saya memahami materi. karena pembawaan materi yang sangat menyenangkan, dan juga ada beberapa quis di setiap pembahasan yang membuat materi yang di sampaikan menjadi tidak membosankan. saran saya mungkin hanya perlu menambahkan mata pelajaran lagi seperti pendidikan agama, ilmu pengetahuan alam, dan mata pelajaran kejuruan seperti otomotif",4
"Aku dah langganan baon, mulai juni. Dan ada beberapa problem yg emang selesainya lama, tapi gapapa sih. Tapi sekarang, sekarang, waktu masa ulangan, fitur sharing soal nya ga bisa dibukaaaa. Padahal alasan utama aku langganan itu supaya bisa tanya latihan soal yg buat kisi-kisi waktu ulangan. Daan sekarang malah ga bisa. Udah 3 hari. Mulai senin, pas banget kan dr hari pertama ulangan itu. Kalau ada problem ya, harusnya 1 hari selesai lah KALAU EMANG DIBENERIN.. ayolah PERCUMA dong aku langganan",1
"Aplikasi error! saat pengerjaan Try Out Januari, TPS 1 (Penalaran Umum) tiba-tiba error saat akan lanjut ke subtes selanjutnya. padahal saya sudah mengerjakan semua soal tapi tidak dihitung oleh sistem karena error. akibatnya, pada data yang tercatat terdapat 41 soal dilewati padahal saya tidak melewati soal sebanyak itu (demi Allah saya ingat). udah susah2 kerjain malah kek gini! DEVELOPERNYA MANA NIH!?!?!? TOLONG DONG PERBAIKI!",1
"tombol screenshotnya nyebelin bgt. kadang videonya bisa diputar tapi pas screenshot pakai ruangguru lama, kadang juga gk tersimpan. emg knp sih gk boleh di screenshot langsung, kan kita UDAH BAYAR JIRRRR",1
"Pelajaran nya mudah di mengerti, banyak diskon juga apalagi waktu ada event jadi makin murah, guru guru pengajarnya ramah ramah, aplikasinya no lemt, materinya sama kayak yang di kelas.",5
"Baguss bangettt, fitur fitur nya juga bagus belajarnya tambah seru dan asyikk ada video² nya juga , ada battle nya lagi fikss belajar disini aja dehhh 😆😆😆",5
"Live Teaching & drill soal masih rawan bermasalah, tambahkan fitur tap tahan lama di layar untuk forward ⏩ 2x, seperti yang marak pada player video terkini (TikTok, YouTube, dll)",3
"Bagus banget , membantu kegiatan belajar, paling suka vidio nya itu lohh mudah dipahami dpt rangkuman + latihan soal terus jdi cepet lempel di otak , tpi terbatas gtu yg gratis kebanyakan harus berlangganan dlu hehe. Tpi bagus sii ini luppp banyak banyak buat ruang guru Thankyou yaa luppp💗✨",5
"Jujur aku kebantu banget ama ruang guru, tapi sayangnya ada beberapa yang yang berlangganan, aku mau aja sih berlangganan, tapi g ada duit :v Ya aku cuma mau mungkin beberapa di gratisin (g semua) soalnya kalo mau ngerjain soal pasti berlangganan dulu atau yang lain. Udah bagus kok, cara mengajarnya juga enak dan gampang dimengerti",5
"awal langganan app ini nyesel karna bkn langganan ruangbelajar SMA + UTBK , malah langganan buat UTBK doang (minim literasi krn yg keluar di kls 12 cm UTBK). tp ternyata materi kls 12 semua ada di ruangbelajar UTBK ini, bahkan jadi lebih ringkas tp tetep lengkap g bertele tele, jd puas deh g nyesel lg, cm 624k. langganan rg karna butuh latsol"" sm video animasinya hehe, jd buat BAO (les""nya g dulu). dBagian roboguru appnya agak error sering g menemukan jawab, akhirnya manual di google baru bisa.",4
Buat developer aku ad saran buat update selanjutnya gimana kalo bagian live teachingnya itu dibuat sistem rewind gitu kak supaya kalo ketinggalan atau kurang jelas bisa di kembaliin lagi ke slide yg kurang jelas tadi kak Jadi gak ribet lagi harus nunggu nunggu riwayat sesi,5
"Aplikasinya bagus, namun sering sekali terjadi kendala saat belajar. Sering sekali saat belajar tiba-tiba soal atau video tidak bisa dibuka karena belum berlangganan, padahal saat itu masa langganan saya baru berjalan 3 hari. Mohon untuk diperbaiki segera karena hal ini sangat mengganggu proses belajar saya.",1
aplikasi yang memadukan banyak cara untuk siswa belajar lebih seru dan tidak membosankan. banyak promo bimbel yang bisa kita dapatkan dan terjangkau harganya,5
"Materi lengkap dengan latihannya, jadi tidak perlu repot-repot cari latihan soal. Di sisi lain, Brain Academy dan beberapa hal lain suka error, jadi agak menganggu saat kegiatan belajar.",4
"Kerenn,bisa menambah wawasan, pengetahuan,banyak pelajaran yang sebelumnya belum dimengerti tapi setelah belajar diruang guru semua jadi oke🤩",5
"aku jadi semakin mudah untuk belajar karena video pembelajarannya yang menyenangkan, trimkasih ruangguru!!",5
Kasih rating 2 karena kesel baru nyoba langganan tapi nge bug Mulu gak bisa di buka Vidionya padahal jaringan stabil Tolong perbaiki ruang guru,2
"Masih terdapat banyak bug seperti kadsng logo ikon tidak bisa di pencet dan ngelag padahal seluruh jaringan dan memori hp masih sangat baik. Sama jangan apa apa bayar apa apa bayar, tolong kaya bayar sekali tapi langsung lengkap gitu jangan apa apa nambah lagi kaya fitur ""ai"" banyak bug nya",3
"Ini aku masih kecil sih,aku iseng iseng pengen belajar lewat aplikasi ternyata seru bgt,aku belajar malam malam aja sih soalnya kalau lagi sampai jam 7 ml aku ada banyak kegiatan aplikasi ini juga buat aku ngantuk tapi seru banget coyyy!! Aku kasih rating 5/5 mantap banget",5
"karena bisa bangun untuk ngebantu kita buat belajar, dan lebih seru, tidak gampang bosan, karena ada vidio² menarik yg di sampaikan, sehingga pendengaran tidak bosan, karna di sela² vidio ada kuis, yg buat penonton tidak bosan dan bisa lebih fokus",5
"Aplikasi anjir, ruang belajarnya hanya mubeng"" gak ada vidionya + di konsultasikan Masalah lewat wa malah gak respon. Padahal biaya langganannya lumayan",1
"Heran sama les ini,masa kalo mau private perlu 10 koin, meanwhile perminggu diisi cuma 8, 2 koin lagi dari mana? Promosi aneh mau les aja gak ada kejelasan dari mereka syarat dan mekanisme nya gimana. Toh sama aja bohong kalo dlm aplikasinya ada mikro transaction",1
"Tampilan homepage Ruangguru terkesan tidak rapi, contohnya seperti adanya beberapa benner event Ruangguru yang memenuhi bagian atas dan begitu juga di bagian homepage BAO juga ada hal yang sama, membuatnya juga tidak rapi . Tolong pihak developer mau menyempurnakan penampilan tersebut",1
"Aplikasi ini sangat membantu saya dalam belajar akuntansi, karena dari awal saya ngga ada passion untuk masuk jurusan akuntansi, dan selalu tertinggal saat pembelajaran, namun dengan belajar di aplikasi ini sangat membantu saya dalam memahami akuntansi, dan banyak fitur fitur menyenangkan yang membuat saya tidak merasa jenuh dan selalu bersemangat untuk belajar akuntansi",5
"apk eror, bayar mahal² pas di pakai mau latsol sllu ga bsa di scroll kebawah ngelag apk ny buang² duit aja , wifi sma kuota aman ga ad yang ngelag ,parah bnget ni apk bayar mhal di pakai malah ngelag hadehh..",1
"Aplikasi kadang eror, (padahal sudah berlangganan untuk kelas dan kurikulum tersebut), tetapi saat mencari pelajaran selain pelajaran di fitur favorit mohon kedepannya di perbaiki",2
"Aplikasinya bagus, karena bisa membantu aku dalam belajar. Dari yang tidak bisa menjadi bisa, dan tidak memakan waktu lama. Penjelasannya juga mudah dipahami, jadi lebih cepat bisa dan bagus untuk pelajar yang kesulitan untuk mempelajari pelajaran yang sulit dipahami.",5
"ruangguru membantu banget buat aku, btw aku langganan yang sma+utbk baru kelas 12 ini. dengan ini aku bisa lebih semangat belajar utbknya karena udah disusun secara rapi dan terstruktur banget materinya, dan juga aku bisa lihat materi sma juga buat mensupport pelajaran smaku. so far so good. mau pesen aja buat ruangguru, ditingkatin lagi utbk centernya karna masi ada bug kadang, dan lebih dirapihin dan terus update ajasih jangan sampe materinya ketinggalan sama bimbel"" offline itu",5
"Bintang disini ditujukan untuk tim developer, setiap kali ada masalah dengan fitur, solusi pertama yang selalu diajukan dari CS adalah login ulang. Beberapa kasus memang berhasil, tetapi tidak semua. Kasus yang saya alami ialah saat selesai mengerjakan drill soal dan ingin melihat pembahasan. Pembahasan tersebut tidak muncul bahkan sampai 5 menit. Saya pun relog dan berhasil, tapi disinilah masalahnya. Saya harus selalu melakukan itu! untuk melihat pembahasan soal dari materi yang berbeda",2
"Sangat membantu saya dalam pelajaran ,tetapi saya kurang mampu jadi mohon aplikasi ini banyakin video pelajaran yg gratiss iyaa agar yang kurang mampu dapat belajar di ruang guru.",5
"Aplikasinya bagus dan membantu dalam memahami pelajaran di sekolah. Tapi berharap banget ada fitur riwayat tontonan di brain academy, karena suka susah buat nyari video yang sebelumnya buat ditonton lagi",4
Aku langganan baon baru september paket regular dan sejak saat itu banyak spam chat kurleb dari 10 nomor berbeda yg mengatas namakan rugur buat nawarin upgrade paket yg kuambil atau perpanjang paket dsb. Aku sdh respon dan tolak bbrp kali tapi masih saja di spam chat dgn berbagai penawaran marketing mrk (dan menurut aku ini kesannya maksa bgt) udh ada bbrp no jg yg pernah aku block karena jujur ini SANGAT MENGGANGGU PRIVASI & KENYAMANANKU BANGET sekian terimakasih. 🙏😊,2
"Materi pembelajaran menurut saya sudah lengkap. Tapi tolong tambahkan fitur keterangan teks ya ka ,biar klo disekitar berisik masih bisa ngerti apa yang dijelaskan",4
"kecewa, banyak fitur yang error, fokus promosi aja trus aplikasi ga dibenerin. download kualitas HD aja gabisa, komplain ga ditanggepin, eh malah tiba tiba banyak chat yang nawarin produk ruangguru lainnya",1
"sangaaaat menyenangkan belajar di sinihhh ✋️🫨, cara penyampaian dan penjelasannya sangat mudah di pahami dan asyiiiikkk!! 😋😻, pelajaran yang membosankan jadi asyiikk karena ruang guru 🥰, CEPAT DOWNLOAD!! 🤩🙂‍↕️",5
"Tolong ya,ketika login dan mendaftarkan aplikasi ruang guru,kenapa operator ruang guru selalu spam call? Itu tidak pantas. Kenapa harus spam?oke kalau sekali,ini berkali-kali, saya sangat tidak nyaman, dan saya harus memblokir nya.",2
"Aplikasi suka ngebug dan keluar sendiri pas ngerjain kuis sampe gk bisa jawab terus gk dapet star, aplikasi full bug dan menyusahkan, ini apl belajar beban dan paling jelek yg pernah aku coba, bikin kesal aja nih bukanya senang, bikin pengeng banting hp",1
"Apk ini sgt bagus. Aku gampang maksud sama materi yang di jelaskan. Loading nya juga ga teralu lama. Asik. Bikin nagih. Apk ini juga slalu ingetin kita untuk blajar. Adminnya juga ramah², dan fast respon. Makasi rg☺️☺️",5
"membantu banget🤩, saya jadi bisa pelajaran yang belum aku pahamin, makasih banget sudah menciptakan aplikasi yang sangat berguna bagi kita semua, maa syaa Allah, Alhamdulillah saya jadi bisa pelajaran matematika dan IPAS, walaupun matematika masih belum cukup mengerti, tetapi saya mulai faham, sekali lagi terimakasih, saya yang lagi di bantai tugas sekolah pusing, akhirnya saya coba coba apk ini, dan Alhamdulillah nya bisa membantu sedikit demi sedikit.",5
"Saya kasih bintang lima itu karena banyak pengetahuan didalamnya yang di dapatkan tapi saya berpikir ruang guru ini kan memberi ilmu full dengan berlangganan tapi jika tidak berlangganan maka tidak akan dapat seluruhnya.Lalu bagaimana dengan anak-anak miskin di luar sana yang ingin belajar di ruang guru tapi tidak mempunyai uang bukanlah itu merugikan mereka, sudah berharap pada ruang guru tapi tapi harus bayar agar bisa belajar full",5
"eek lah sering kali error, apalagi waktu masukkan nilai untuk liat peluang snbp, udah siap semua, gk ada kesalahan malah error mana lebih dari 20 menit untuk isi data nya agar tidak ada kesalahan",1
"Kesel banget kalo udha bug dan eror, contohnya pas ngisi data buat rasionalisasi gak bisa dikirim karna koneksi padhal koneksinya lancar",1
"Thank you bgtt, berkat ruangguru aku selalu masuk 3 besar di kelas. Materinya lengkap polll + mudah dipahami. Pokoknya bagus banget dehh",5
"Mudah dipahami, enak didengar, seru karena ada kuis nya tetapi sayangnya harus premium utk menonton dan menjawab quiz semoga sih biar gak berbayar",5
walaupun otak saya agak bebel tapi setelah sering sering di ulang Alhamdulillah akhir nya ngerti juga walaupun sedikit🤣🤣,5
Video eror setiap muncul kuis soal dan pilihan jawabannya gk ada/muncul.,1
"Bagus,tapi kalo sudah selesai ngerjain soal di video, videonya langsung mati",4
bagus banget bisa buat belajar lebih giat lagi sama bisa dapet teman baru,5
Mudah dipahami dan asik juga ada dikasi waktu buat nyatet trus juga sudh di ringkas kan love deh sama ruang guru,5
Aplikasi yang membantuku belajar dalam meraih juara olimpiade THE BEST POKOKNYA!!!!!,5
Ruang guru sangat bagus cara belajarnya menggunakan hp dan juga filmnya seru sekali,5
"Ruangguru kenapa gagal dimuat terus, padahal pake wifi😔 bikin badmood aja waktu mau belajar. Fitur roboguru juga tiba tiba ilang",2
"akhhh gimana ini,videonya gk keputar,loaaading teros. keganggu nih jadwal pembelajaranku. biasanya gk gini. perbaiki dong sistemnya",2
Wauuu aplikasi ini ruang guru luar biasa mudah mudahan aplikasi ruang guru ini bisa membuat aku semakin pintar cerdas bijak genius 😊😇🤩😲🙀🤲🙏👍🏻,5
"sering bug, masalah tidak teratasi ketika sudah kirim WhatsApp ke official ruangguru😊",1
Tempat kode diskon paketnya tdk muncul. Aplikasi ribet niatnya belajar jd fokus sma pretelan pretelan aplikasinya,2
"aku suka banget sm aplikasi ruang guru,karna bisa belajar lebih dalam, apalagi ada bnyak video pembelajaran materi yg kalian pgen pelajari,jdi semangattt truss deh",5
Gagal terus untuk memuat video pembelajaran padahal sudah berlangganan.,2
Bagus ruangguru tapi videonya loading terus ga bisa diputer lagi bikin capek,2
"Aplikasinya bagus ,belajar sambil bermain dan juga menambah kepintaran kita",5
Sangat memuaskan dan membantu dalam memberi pemahaman dlm pembelajaran,5
Aplikasinya Sangat membantu aku jadi sering peringkat 1 terimakasih ruang guru,5
Bagus. aplikasi belajar top 1 se-Indonesia yang keren. Semoga kedepannya lebih baik lagi 👍,5
membantu belajar dan mudah di pahami !! gooddddd,5
